Task: 3, Test Name: IsAddToCartButtonPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsProductDescriptionPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsFooterHeaderPresentByFooterName Quick Links, Browser chrometablet, Status: True
Task: 3, Test Name: IsFooterHeaderPresentByFooterName Contacts, Browser chrometablet, Status: True
Task: 3, Test Name: IsFooterHeaderPresentByFooterName Keep in touch, Browser chrometablet, Status: True
Task: 3, Test Name: IsHomeIconPresentInContacts, Browser chrometablet, Status: True
Task: 3, Test Name: ISContactLocationPresent, Browser chrometablet, Status: True
Task: 3, Test Name: IsMailIconPresentInContact, Browser chrometablet, Status: True
Task: 3, Test Name: IsEmailAddressOfContactPresent, Browser chrometablet, Status: False
Task: 3, Test Name: IsPageHeaderPresent, Browser mobile, Status: True
Task: 3, Test Name: IsAppliFashionLogoPresent, Browser mobile, Status: True
Task: 3, Test Name: IsMainHeaderPresent Home, Browser mobile, Status: True
Task: 3, Test Name: IsMainHeaderPresent MEN, Browser mobile, Status: True
Task: 3, Test Name: IsMainHeaderPresent WOMEN, Browser mobile, Status: True
Task: 3, Test Name: IsMainHeaderPresent RUNNING, Browser mobile, Status: True
Task: 3, Test Name: IsMainHeaderPresent TRAINING, Browser mobile, Status: True
Task: 3, Test Name: IsSearchInputPresent, Browser mobile, Status: True
Task: 3, Test Name: IsSearchButtonPresent, Browser mobile, Status: True
Task: 3, Test Name: IsAccountIconPresentByIconName , Browser mobile, Status: True
Task: 3, Test Name: IsWishListIconPresentByIconName , Browser mobile, Status: True
Task: 3, Test Name: IsCartIconPresent, Browser mobile, Status: True
Task: 3, Test Name: IsCartQuantityPresent, Browser mobile, Status: True
Task: 3, Test Name: IsProductImagePresent, Browser mobile, Status: True
Task: 3, Test Name: IsProductStarReviewPresent, Browser mobile, Status: True
Task: 3, Test Name: Is Size label present, Browser mobile, Status: True
Task: 3, Test Name: Is Quantity label present, Browser mobile, Status: True
Task: 3, Test Name: IsProductReviewPresent, Browser mobile, Status: True
Task: 3, Test Name: IsSizeInputPresent, Browser mobile, Status: True
Task: 3, Test Name: IsSelectedsizeSmall, Browser mobile, Status: True
Task: 3, Test Name: IsQuantityIncreaseIconPresent, Browser mobile, Status: True
Task: 3, Test Name: IsQuantityDecreaseIconPresent, Browser mobile, Status: True
Task: 3, Test Name: IsQuantityPresent, Browser mobile, Status: True
Task: 3, Test Name: IsDiscountBannerPresent, Browser mobile, Status: True
Task: 3, Test Name: IsNewPriceCorrect, Browser mobile, Status: True
Task: 3, Test Name: IsOldPriceCorrect, Browser mobile, Status: True
Task: 3, Test Name: IsAddToCartButtonPresent, Browser mobile, Status: True
Task: 3, Test Name: IsProductDescriptionPresent, Browser mobile, Status: True
Task: 3, Test Name: IsFooterHeaderPresentByFooterName Quick Links, Browser mobile, Status: True
Task: 3, Test Name: IsFooterHeaderPresentByFooterName Contacts, Browser mobile, Status: True
Task: 3, Test Name: IsFooterHeaderPresentByFooterName Keep in touch, Browser mobile, Status: True
Task: 3, Test Name: IsHomeIconPresentInContacts, Browser mobile, Status: True
Task: 3, Test Name: ISContactLocationPresent, Browser mobile, Status: True
Task: 3, Test Name: IsMailIconPresentInContact, Browser mobile, Status: True
Task: 3, Test Name: IsEmailAddressOfContactPresent, Browser mobile, Status: False
